name,base_total,generation,img,type1,type2,is_starter,is_legendary,is_pseudo_legendary,is_fossil,against_normal,against_fighting,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark
victini,600,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/victini.png,psychic,fire,0,1,0,0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,2.0,0.5,0.5,2.0,0.5,1.0,0.5,0.5,1.0,2.0
snivy,308,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/snivy.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0
servine,413,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/servine.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0
serperior,528,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/serperior.png,grass,,1,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0
tepig,308,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/tepig.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0
pignite,418,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/pignite.png,fire,fighting,0,0,0,0,1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,0.5,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.5
emboar,528,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/emboar.png,fire,fighting,1,0,0,0,1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,0.5,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.5
oshawott,308,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/oshawott.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
dewott,413,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewott.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
samurott,528,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/samurott.png,water,,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
patrat,255,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/patrat.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
watchog,420,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/watchog.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
purrloin,281,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/purrloin.png,dark,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
liepard,446,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/liepard.png,dark,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
pidove,264,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidove.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
tranquill,358,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/tranquill.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
unfezant,488,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/unfezant.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
sewaddle,310,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sewaddle.png,bug,grass,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0
swadloon,380,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/swadloon.png,bug,grass,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0
leavanny,500,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/leavanny.png,bug,grass,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0
sunkern,180,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunkern.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0
sunflora,425,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunflora.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0
lillipup,275,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/lillipup.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
