name,base_total,generation,type1,type2,is_starter,is_legendary,is_pseudo_legendary,is_fossil,against_normal,against_fighting,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark
bulbasaur,318,1,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0
ivysaur,405,1,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0
venusaur,525,1,grass,poison,1,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0
charmander,309,1,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0
charmeleon,405,1,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0
charizard,534,1,fire,flying,1,0,0,0,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0
squirtle,314,1,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
wartortle,405,1,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
blastoise,530,1,water,,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
caterpie,195,1,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
metapod,205,1,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
butterfree,395,1,bug,flying,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0
weedle,195,1,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0
kakuna,205,1,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0
beedrill,395,1,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0
pidgey,251,1,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
pidgeotto,349,1,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
pidgeot,479,1,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
rattata,253,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
raticate,413,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spearow,262,1,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
fearow,442,1,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
ekans,288,1,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0
arbok,448,1,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0
pikachu,320,1,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
raichu,485,1,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
sandshrew,300,1,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0
sandslash,450,1,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0
nidoran♀,275,1,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0
nidorina,365,1,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0
nidoqueen,505,1,poison,ground,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0
nidoran♂,273,1,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0
nidorino,365,1,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0
nidoking,505,1,poison,ground,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0
clefairy,323,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clefable,483,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vulpix,299,1,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0
ninetales,505,1,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0
jigglypuff,270,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wigglytuff,435,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zubat,245,1,poison,flying,0,0,0,0,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0
golbat,455,1,poison,flying,0,0,0,0,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0
oddish,320,1,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0
gloom,395,1,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0
vileplume,490,1,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0
paras,285,1,bug,grass,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0
parasect,405,1,bug,grass,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0
venonat,305,1,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0
venomoth,450,1,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0
diglett,265,1,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0
dugtrio,425,1,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0
meowth,290,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
persian,440,1,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
psyduck,320,1,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
golduck,500,1,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0
mankey,305,1,fighting,,0,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5
