name,base_total,generation,img,type1,type2,is_starter,is_legendary,is_pseudo_legendary,is_fossil,against_normal,against_fighting,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy
sprigatito,310,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/sprigatito.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
floragato,410,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/floragato.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
meowscarada,530,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowscarada.png,grass,dark,1,0,0,0,1.0,2.0,2.0,2.0,0.5,1.0,4.0,0.5,1.0,2.0,0.5,0.5,0.5,0.0,2.0,1.0,0.5,2.0
fuecoco,310,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/fuecoco.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
crocalor,411,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/crocalor.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
skeledirge,530,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/skeledirge.png,fire,ghost,1,0,0,0,0.0,0.0,1.0,0.5,2.0,2.0,0.25,2.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5
quaxly,310,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/quaxly.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
quaxwell,410,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/quaxwell.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
quaquaval,530,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/quaquaval.png,water,fighting,1,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,1.0,0.5,2.0
lechonk,254,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/lechonk.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oinkologne,489,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/oinkologne-male.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tarountula,210,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/tarountula.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
