,name,base_total,generation,img,type1,type2,is_starter,is_legendary,is_pseudo_legendary,is_fossil,against_normal,against_fighting,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy,is_rby,is_gsc,is_rse,is_frlg,is_dp,is_plat,is_hgss,is_bw,is_bw2,is_xy,is_oras,is_sm,is_usum,is_swsh,is_bdsp,is_sv
0,bulbasaur,318,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1,ivysaur,405,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2,venusaur,525,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,grass,poison,1,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3,charmander,309,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
4,charmeleon,405,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
5,charizard,534,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,fire,flying,1,0,0,0,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
6,squirtle,314,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
7,wartortle,405,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8,blastoise,530,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png,water,,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
9,caterpie,195,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,True,False,False
10,metapod,205,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,True,False,False
11,butterfree,395,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png,bug,flying,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,True,False,False
12,weedle,195,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
13,kakuna,205,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
